id;created_at;date;time;type;location;severity
1a99c3a5-01d4-44d9-9599-bf8cbd38cf1f;2026-03-12 03:00:06.854664+00;2026年3月12日;11:00;safe;;
be790dbd-40e5-410b-8125-c3cb812fa8b5;2026-03-13 01:08:05.915478+00;2026年3月13日;09:08;safe;;
2bf391f8-5523-4bc2-9791-02c75b4f4a23;2026-03-17 00:17:44.91646+00;2026年3月17日;08:17;safe;;
6cc87733-6228-41f7-9c68-4f69cc7d9914;2026-03-18 10:10:04.979724+00;2026年3月18日;18:10;safe;;
8c55e19c-eabc-437c-b47c-d711c9d9e4fa;2026-03-19 15:45:05.426023+00;2026年3月19日;23:45;safe;;
d5cae2e7-0611-4ef7-a42b-dd16c991a4bd;2026-03-20 03:53:02.589871+00;2026年3月20日;11:53;safe;;
ae16b29b-289f-44ec-9538-14beb01c2235;2026-03-21 07:42:30.187731+00;2026年3月21日;15:42;safe;;
812bff94-1272-45bf-9d67-5d967bd40563;2026-03-25 01:36:14.790718+00;2026年3月25日;09:36;bump;左膝盖;很痛
a9d030c0-8a7e-48ba-97de-aaa9277a924a;2026-03-26 03:10:43.099052+00;2026年3月26日;11:10;safe;;
73e63d19-d327-4fef-8734-266c3fba1d40;2026-04-14 08:18:17.678582+00;2026年4月14日;16:18;safe;;
3843729b-35b2-4325-a2fc-aebb18e80b93;2026-04-15 01:22:45.338573+00;2026年4月15日;09:22;safe;;
1eaa730f-303b-4345-ac07-756e8f2c67b4;2026-04-16 10:51:51.164563+00;2026年4月16日;18:51;safe;;
c84aca8b-4e2a-43e9-b635-150e7d5498fc;2026-04-18 15:24:16.3679+00;2026年4月18日;23:24;safe;;
e38c8f96-4b77-4e5e-bba2-71f1750c0e7a;2026-04-20 08:57:42.959114+00;2026年4月20日;16:57;safe;;
0eac8b98-5857-4e55-bb64-8af82852d8f8;2026-04-22 00:25:04.506562+00;2026年4月22日;08:25;bump;右膝盖;超痛
e6c08f9d-3d32-423a-802f-fb7dbbf89c1c;2026-04-22 00:38:04.353292+00;2026年4月22日;08:38;bump;脑袋;超痛
3826c507-96b2-4a37-9456-f6802ef628ca;2026-04-27 00:39:48.283305+00;2026年4月27日;08:39;safe;;
0ec8d6c7-ae99-4745-9c59-f596554c7995;2026-04-29 03:07:20.58773+00;2026年4月29日;11:07;bump;右手肘;一般痛
7e74e151-af5d-47c0-85e3-accda7bd1a3d;2026-05-05 14:31:59.043169+00;2026年5月5日;22:31;safe;;
6da9fe6a-7092-4c39-bd2d-72c7feff0523;2026-06-04 03:47:34.514507+00;2026年6月4日;11:47;bump;右膝盖;一般痛
61c3c7b1-aa73-4dbb-af8f-e4af5544c3a6;2026-06-06 00:42:31.235625+00;2026年6月6日;08:42;bump;右手肘;很痛
fd67e9b1-2db1-4303-b23f-5cab2015672d;2026-06-07 08:31:04.235469+00;2026年6月7日;16:31;bump;脑袋;很痛
